 Question,Answer,Context,Intent,Entities,Difficulty,Volatility Level,Comments
"I applied for cisco but I don’t see my name on the list, are the approvals still happening or is the list finalized? Do i need to attend open house today?","I understand that your application was not approved due to the fact that you have completed only two network engineering courses and you are not officially part of the required concentration. 

If you are interested in doing a startup project with one of the existing founders, I recommend that you attend the startup open house.",Approval Process,Event Participation,"Csco, Live Approvals, Open House, Attendance",3,2,Conditional Answer & a deadline
Is there an alternative if I am unable to attend today.,I didn't say today was the only option. Check the schedule for industry open houses.,Open House,Attendance Alternative,"Open House, Attendance",3,1,bot woul have to know that he is allowed to go to another industry open house
"I have been listed as a conditional approval for the Startup track, is there more needed on my end? I saw that you asked for commits but saw no option to do so while I am a conditional approval. I am attending the startup open house later on but I just want to make sure I come prepared with anything else I may need",We'll allow you to present and recruit a team today if you resubmit your proposal after making the necessary changes similar to what your colleagues have done before within 72 hours.,Project Status,Conditional Approval,"Conditional Approval, Startup, Commitment, Live Approval",2,3,Conditional Answer
Hey proffesor was my application not approved I don’t see my name on Cisco? Does that mean I will have to attend startup house today?,I didn't say today was the only option. Check the schedule for industry open houses.,Approval Process,Event Participation,"Live Approval, Startup, Open House",3,3,Conditional Answer
Can I switch to industry-sponsored project as team member?I am not approved to anything so do I need to submit another application?,You don't need to apply. Just come to your corresponding industry open house.,Project Applications,Project Switch,"Projects, Live Approvals",1,1,
"I would like to know if there is still avalibilty to join the RWC?
thank you.","Since you were not approved for Media, the answer is YES",Project Applications,Position Availability,"RWC, Slots",3,3,Conditional Answer
I didn’t get approved for Cisco which means I am automatically put for industry project correct?,Yes!,Project Applications,Denied Application,"Cisco, Industry, Project",1,1,Documents state Industry as the default fallback
Proffesor this WebEx is also industry project too correct,Check the schedule and go on the day you are registered,Track Exclusion,Webex Inquiry,Webex,1,2,LiveSchedule
whats NDA thats due on sunday?,A non-disclosure agreement that the industry and enterprise would have to sign,Track Exclusion,Project Requirements,NDA,2,3,could be a 1 difficulty ?
For the meeting for today at 2 pm could i join with my phone I’m going to be at work however I don’t have a computer there that i could use! I already told my work to give me a break around the meeting time,"yes, as long as you can join the Webex the device you use doesn't matter , i do not think the CISCO meeting will last more than 2 hours max.",Meeting Logistics,Meeting requirements,Meeting,1,1,
What does FTF mean,Face to Face/in-person,Meeting Logistics,Event Details,FTF,1,1,
are we allowed to apply to 2 or 3 projects? the discord announcements all say 2 but the brochure today says up to 3,only 2!,Project Applications,Application inquiry,"Projects, Approvals",1,1,
For projectless students would we apply to the same sponsors or two different ones?,"If they still have a spot you can, if no you should apply somewhere else. But keep in mind you can have only 2 submissions.",Project Applications,Application inquiry,"Projects, Sponsors",1,1,
"If we don't have an industry project yet, can we apply to join an startup project today?",yes the startup founders will be there also recruiting tonight,Project Applications,Application inquiry,"Industry, Projects, Startup",1,1,
I have a 6-9 today and won’t be able to make it. What can I do?,"if you are able to make it from 4-6 that would be appreciated if not, we will have a backup open house if needed",Open House,Attendance Atlernative,"Open House, Attendance",2,1,
does it start at 4 or 5,[Tuesday Open House Brochure],Open House,Schedule Inquiry,Open House,2,2,
"Hello, just need some clarification. Is the open house for Tuesday class will be held today online or in person?",in person in atrium,Open House,Event Details,"Open House, Tuesday Class",2,2,
Is there a sponsor approval form available? To view which projects have been filled up?,[Sponsor Approval Form],Project Applications,Position Availability,"Live Approvals, Projects",1,2,
When is the backup open house?,this saturday,Open House,Event Details,Open House,2,3,
"Instead of Gantt charts, can we just utilize a Kanban board? And separate each sprint with a backlog of tasks?",Of course. I stated that numerous times,Course Details,Sprint Details,"Gantt Chart, Kanban Board, Sprints",1,1,
How do I apply to a project?,[Sponsor Approval Form],Project Applications,Application Inquiry,"Projects, Approvals",1,1,
"It seems like they’re full, pls are we going to be able to get a project??","If a company is marked in “red”, that company will not be offering a project this semester",Project Applications,Position Availability,"Projects, Approvals",2,1,
"I have applied as a Project Manager for project sponsor Sankofa African American 3-D museum and have put a commitment on Discord in the Commitment after approval section in industry-pm section, although I have yet to be included in a team or have members on my team. Would I need to submit my resume to Sankofa?",Operations will be doing matching by resumes,Approval Process,Resume Inquiry,"Project Manager, Sponsor, Commitment, Discord, Live Approvals",,1,
"If I can’t get into a project after tomorrow’s open house, what should I do?",There are enough openings for every projectless person to be assigned somewhere,Project Application,Position Availability,"Project, Open House",2,1,
By operations do you mean the open house tomorrow?,"The sponsors are not going to be there so operations members will place you in your team, We will be doing an asynchronous open house",Open House,Event Details,"Operations, Open House",3,3,Conditional Answer
Okay will I still be able to get a project? I’ve been communicating,"Yes you will, Thank you for staying in touch with us :)",Project Application,Project Approvals ,Project,1,1,
"Wait, is there still an open house today?",there isn't any open house today! the live schedule shows it as virtual but the operations team is matching the projectless students now,Open House,Schedule Inquiry,Open House,2,2,
Where can I find the live approvals sheet?,[Live Approval Schedule],Course Resources,Project Approvals ,Live Approvals,1,1,
I'm confused where do I see what projects I'm approved for?,on live approvals in resources,Course Resources,Project Approvals ,Live Approvals,1,1,
"right now my name is in the bubbles team on the industry live approvals, does that mean I was approved for that project or do I need to do something to get approved?",Just need to commit in <#1198274904085233714>,Approval Process,Project Commit,"Live Approvals, Commitment, Industry, Projects",1,1,
Is there a limited number of applications before the deadline? I am unable to access the application form on Canvas,"Please note that the FIFO method is used for all options except for industry and startup membership applications, which have a set capacity.",Project Applications,Application Limits,"Students, Project, Applicants",1,1,
How will we know the role we have been assigned for Cisco?,At the CISCO OPEN HOUSE. Only two roles exist (CISCO TEAM MEMBER) and (CISCO PM).,Open House,Role Inquiry,"Students, Project, Role, Industry",1,1,
"if we didn't get accepted to the enterprise operations team, are we allowed to apply to a different project?",Yes,Project Applications,Denied Application,"Students, Project, Applicants, Denied",1,1,
"If our start-up was approved conditionally, I know you said we will be approved after some minor changes, but do we have to submit a second time by tonight with these changes or just have them in time for the open house?",Yes you must resubmit. Please do it no later than Tuesday,Startups Applications,Startup Conditionally Approved Inquiry,"Conditional Startup, Open House",1,2,Question asks about deadlines
If i had to change some information on the application do I just resubmit it?,"Honestly, it is too late now, unless it is a major error or mistake.",Project Applications,Application Edit,Application,1,1,
I just put in the wrong email address(not the school email),Not a big deal,Project Applications,Application Edit,,1,1,
Can I join an existing startup?,You need to attend the startup virtual open house next Saturday,Startup Applicaitons,Startup Inquiry,Existing Startup,1,1,
"I also saw two students on that list with personal emails so, I think you're fine (but idk)",Absolutely fine. This is not a big deal,Project Applications,Application Inquiry,Students,1,1,
I applied for RWC but do not see myself on the approved list. what do I do now?,but it is.,RWC Applications ,RWC Application Approval,"Live Approvals, RWC, Approval List",1,3,Answer used attached image in entities
we need to do the commitment in the discord channel after we see our name in the approvals sheet right? or does everyone need to a interview (as far as I can tell not everyone is supposed to?) I am in media and communication list,"Only the ones that say ""candidates"" need an interview. Otherwise, you must commit ASAP since you are approved.",Project Applications,Project Commitment,"Commitment, Discord Channel, Approvals Sheet, Interview, Media and Communication",1,1,
When will we get access to Cisco Academy and will be allowed to start working on that?,Yes. I plan to have the Cisco coach ready it before your first class meetings with him (virtually) through his Webex,Cisco Track,Cisco Academy Inquiry,"Live Schedule, Cisco Academy",2,3,Not sure if this info is on live schedule
"For those that aren't approve for any project, you said will be doing industry projects. Do we find out more about that in the nxt tues/thurs class on what the nxt steps are ? I'm just trying to understand.",The industry projects will be released after January 26th. You will automatically be switched to industry projects if you are not in any non-industry project by Sunday or if you have applied to industry projects as your first choice.,Project Applications,Industry Application Process Inquiry,"Project, Industry Project, Tuesday, Thursday, Class",2,3,Has schedule questions
Will we see our names under a project or we will have to choose one when the projects are release,"Not for industry projects until you attend the industry projects open house.

For non-industry projects, yes.",Project Applications,Industry Application Process Inquiry,"Live Approvals, Project",1,1,
"Can u elaborate a little more..are u saying for industry, we'll find out whichever project we'll be doing when the list is released on the 26th and then we'll know more when we attend the open house which is on Feb 3rd according to the live schedule shared?","## Open House Agenda:

<:ec2:1031781180632203275> Sponsors make brief 2-MINUTE introductions about their organizations, projects, and skills sets expectations.
<:ec2:1031781180632203275> Students present themselves optionally and ask questions based on the proposed projects.
<:ec2:1031781180632203275> To sign up for a sponsor to work with, students communicate face-to-face and join the sponsor's Discord channel to register their names. During the same open house, the sponsor conducts interviews with the prospective individuals, approves them, and then arranges an initial meeting to exchange contact information and agree on the details of the first formal meeting.

## Before the open house:

-    ☑️      Students will receive all project proposals with sponsors' contact information.

-    ☑️      Sponsors will receive all students' names, contact information, and background information.

-     ☑️ Communication or approvals between students and sponsors are only allowed once the open house starts.

## At the Open House:

🔹 During the Open House time,  all sponsors must interview their applicants and approve their best 4-5 people team using an online form to share with all sponsors at the Open House. They send all approvals by 4:30 PM on the open house day, using the provided online link.

🔹 Sponsors/students must decide on their projects/teams/PMs by 4:30 PM and complete the online team selection form you will be provided with. If there are still some vacancies, we will work with the sponsors and the students to fill all available spots in the next few days.

☑️ Sponsors' decisions will be available instantly at (  )

☑️ Student confirmations will be required & available at the DISCORD STUDENTS CONFIRMATION channel.

☑️ Once a sponsor project placement/approval is granted, the student must confirm their acceptance by midnight on the same day via the DISCORD CONFIRMATION CHANNEL. Failure to do so will result in automatic cancellation of the approval, and the spot will become available for other students. This information is under fine-tuning and it will be part of the Canvas system shortly and the FTF training next week. Needless to say, all students who were approved and made a commitment to non-industry projects CANNOT CHANGE THEIR PROJECTS under any circumstances.

Only operations and media should  attend the industry open houses because of their responsibilities among all who have been approved for non industry projects
 ",Industry Project Applications,Industry Application Process Inquiry,Open House Process PDF,2,3,Has schedule questions
"for RWC candidates, do the interviews happen at the open house event?",Please see the live schedule. They will happen this week Tuesday and Thursday virtually. Depending on your registration,RWC Applications ,RWC Candidate Interview Inquiry,"RWC, RWC Candidate, Interviews, Open House",2,3,
When are the CISCO approvals going to be official by?,Did you look at the live approvals Google  sheet?,Cisco Track,Cisco approval inquiry,"Live Approvals, CISCO Approvals",2,3,
Hey once your accepted and type out your commitment are you locked into the route you chose? Is there anything else that I would need to do?,"Yes. Your locked in and out.

Just wait for futther instructions",Track Commitment,Track Commitment Inquiry,Commitment,1,1,
"on the candidate sheet, the wrong email is listed to my name. Do i send you the correct email ?",It is usually exported from the application. I will be happy to edit it is though.,Project Applications,Project Applications Edit,Candidate Sheet,1,1,
I am one of the industry sponsored students for the Thursday section. Both of the Open Houses for the Thursday section land on Saturdays which I usually work 10+ hours at my job since nobody wants to work Saturdays. Would I be able to attend the Tuesday February 6th Industry Open House?,"I will work with Operations to address any exceptional cases based on proof of conflict in schedule. 

The good news is that Tuesday Feb 6th is much larger space  which would allow more flexibility than Feb 3rd",Personal Schedule Conflict,Schedule Conflict Resolution Request,"Industry Sponsored Students, Thursday Section, Open House",1,1,
Same here. I work on Tuesday evenings and all day Saturdays. What happens if my job conflicts with all the open house times??,"Operations Please take note of the special cases above. With a documented conflict, we will find a solution to adapt to your special case, including facilitating remote interview and/or project assignment. No problem cannot be solved.",Personal Schedule Conflict,Schedule Conflict Resolution Request,"Job, Conflicts, Open House",1,1,
"Okay, who do I  send the schedule conflict to and when ?",Feel free to send it to me via Discord any time before next week,Personal Schedule Conflict,Schedule Conflict Resolution Inquiry,Schedule Conflict,1,1,
"If I didn't get into software automation I'm automatically in the industry track, right?",Correct!,Project Applications,Project Application Rejected,"Software Automation, Industry Track",1,1,
"I have been approved for automation, but I still want to do an industry project. Should I just not commit and attend the open house?","I will remove you now from automation. The industry is the default option before commitment. There is no way back, though. You have been removed.",Project Applications,Projet Applicatinos Change Request,"Software Automation, Industry Project, Open House",1,1,
"Hello. I’m a bit confused about the industry sponsored projects. Just to confirm my understanding, are we supposed to wait until our sections open house and go to that and kind of interview for a position? I saw the live list on canvas for the non-industry projects so it confused me a little","## Open House Agenda:

<:ec2:1031781180632203275> Sponsors make brief 2-MINUTE introductions about their organizations, projects, and skills sets expectations.
<:ec2:1031781180632203275> Students present themselves optionally and ask questions based on the proposed projects.
<:ec2:1031781180632203275> To sign up for a sponsor to work with, students communicate face-to-face and join the sponsor's Discord channel to register their names. During the same open house, the sponsor conducts interviews with the prospective individuals, approves them, and then arranges an initial meeting to exchange contact information and agree on the details of the first formal meeting.

## Before the open house:

-    ☑️      Students will receive all project proposals with sponsors' contact information.

-    ☑️      Sponsors will receive all students' names, contact information, and background information.

-     ☑️ Communication or approvals between students and sponsors are only allowed once the open house starts.

## At the Open House:

🔹 During the Open House time,  all sponsors must interview their applicants and approve their best 4-5 people team using an online form to share with all sponsors at the Open House. They send all approvals by 4:30 PM on the open house day, using the provided online link.

🔹 Sponsors/students must decide on their projects/teams/PMs by 4:30 PM and complete the online team selection form you will be provided with. If there are still some vacancies, we will work with the sponsors and the students to fill all available spots in the next few days.

☑️ Sponsors' decisions will be available instantly at (  )

☑️ Student confirmations will be required & available at the DISCORD STUDENTS CONFIRMATION channel.

☑️ Once a sponsor project placement/approval is granted, the student must confirm their acceptance by midnight on the same day via the DISCORD CONFIRMATION CHANNEL. Failure to do so will result in automatic cancellation of the approval, and the spot will become available for other students. This information is under fine-tuning and it will be part of the Canvas system shortly and the FTF training next week. Needless to say, all students who were approved and made a commitment to non-industry projects CANNOT CHANGE THEIR PROJECTS under any circumstances.

Only Operations and media should  attend the industry open houses because of their responsibilities among all who have been approved for non industry projects
 You need to wait until the LIVE FTF industry opens house meetings. Only Industry Sponsors can approve you for any particular project they have proposed.",Open House,Open House Process Inquiry,"Open House Process PDF, Industry Sponsored Project, Open House",1,1,
Is there a physical class today? Or is it completely online?,Please see the LIVE SCHEDULE and the announcement/REMINDER I just made,Class Schedule,Class Schedule Inquiry,"Live Schedule, Physical Class, Today, Online",2,3,
is the meeting for CISCO only for approved candidates or should everyone who applied show up? I just want to know since I haven’t been approved (yet hopefully),It was clearly stated that it was only for approved CISCO students. No one else is allowed.,Cisco Track,Cisco Meeting Inquiry,"Live Schedule, CISCO, Meeting, Approved Candidate",1,2,
It looks like there are still slots left? Do we know when the rest will be approved?,"There is no possible consideration if you are NOT in Network and Info Security concentration in the IT program. Otherwise, I am still working on expanding the class beyond the norms but this may take a week. We have already exceeded normal capacity",Cisco Track,Cisco Application Slots Inquiry,Slots,3,3,We don't know info about remaining slots for tracks
"Regarding enterprise/ more specially software automation is there a timeline for seeing more information on the projects because on the schedule I only really see dates for ""Independent Team Work"". Would that information be talked about during those capstone training days? (Jan 30 and Feb 1)",I will meet separately with all approved software automation members next week to finalize the projects that match our needs and your interests + skill sets.,Software Automations Track,Software Automations Inquiry,"Enterprise, Software Automation, Capstone Training Days",2,2,
"just a quick question: After being finalized, will the enterprise teams (specially media) have more information before the open house or would it be only the capstone training? Media is needed to do to the open house I believe. Is it only the industry open house and will we need to be there for them in person? (Saturday, February 3; Tuesday, February 6; and Saturday, February 10) I just wanted to know what I should prepare.","Media will be involved in a series of projects, including but not limited to the open houses and showcase. Please see details on CANVAS

The ""CAPSTONE TRAINING"" concerns the required capstone deliverables that ALL teams must submit.

Next week, we will discuss the expectations specific to each enterprise team separately. For this week, our focus is on confirming commitments, assigning approved members to channels, and initiating in-channel communication with each team about their own project.",Media Track,Media Track Inquiry,"Enterprise Team, Media, Open House, Capstone Training",2,3,
"For students designing a K12 curriculum in RWC, are we given the choice to either come to the open house today or thursday? Or must we attend depending on what class we are in?","You normally do not have that choice. But because of some constraints, I prefer that most do Thursday. If you are in  Thursday, you CANNOT do Tuesday, though.",RWC Applications ,RWC Open House Inquiry,"K12 Curriculum, RWC, Open House",2,3,
Do RWC candidates need to bring anything to the interview on Thursday?,Not at this point,RWC Applications ,RWC Open House Inquiry,RWC Candidate,1,2,
How do we know if we’re verified on discord?,That you can access this channel and your color is green,Discord Server,Discord Server Access Inquiry,Discord,2,3,
do in person attendees submit their resumes too?,Yes,Limited Open House,Open House Process Inquiry,In-Person Attendees,1,1,
"Will the sponsors understand the circumstances of the Tuesday section people, since it is not out of our control, and they can't control it too?","Of course they will, we've made the reasons for this change and model clear to them as soon as we made this decision",Limited Open House,Open House Concern,"Sponsors, Tuesday Section",2,1,
When should graduate students attend,Graduate students can also attend tomorrow,Limited Open House,Open House Inquiry,Graduate Students,2,3,
In-person right,Remote,Limited Open House,Open House Inquiry For Graduate Students Specifically,In-Person,3,3,Limited Open houses information is very volatile
what room is it at?,the open house will be in gitc 3700,Limited Open House,Open House Inquiry,Room,1,3,
"How will I connect with the sponsor of my choice, please help",drop your name and resume in the channels of the 2 sponsors you are interested in,Limited Open House,Industry Open House Application Process Inquiry,Sponsor,1,3,Open house application process may change with open house streamlining team project
"I’m still confused by the announcement, what do I need to fill out for the 2 companies I want to interview with for tomorrow? 

I’m in the Thursday section and will be attending in person tomorrow but I’m unsure what the new announcement is referring to",drop your name and resume in the channels of the 2 sponsors you are interested in,Limited Open House,Industry Open House Application Process Inquiry,Thursday Section,1,3,
"are all the industry projects gonna be at the limited open house tomorrow? if not, do we know which ones aren't attending","A large majority of them will be there, waiting on the finalize list to send y'all",Limited Open House,Industry Open House Application Process Inquiry,"Industry Project, Open House",2,3,"We may not have the list of industry projects.
List may be constantly updated as well"
what should we expect during interviews with the sponsors?,Treat it like a job interview. They shouldn’t be too long but style and length can vary by sponsor so it’s difficult to give an objective answer of what to expect,Limited Open House,Industry Open House Application Process Inquiry,Sponsor,1,1,
"How can grad students register for tomorrow, please provide details","By attending the virtual open house version and apply through the channels.
You can apply to maximum of two projects by sending your resume in the respective channel under “open house”. 
To attend the open house virtually, you can join the WebEx session. Please find the link under events in this server.",Limited Open House,Virtual Open House Application Process Inquiry,Graduate Students,2,3,Discord channels might change. Aagains open house applicaion process may change
"If we are unable to attend the Saturday open house due to schedule conflict, do we still give resume and names to sponsors or just meet them at a later open house?","That is definitely a possibility to consider. It's important to keep in mind that although a few sponsors may attend both open houses, and some will attend only the second, the majority will only attend the first one. This is why we have made the first open house available for both in-person attendance for Thursday sections and virtual attendance for Tuesday sections, to ensure that everyone has the opportunity to attend and engage.",Limited Open House,Open House Schedule Conflict Inquiry,"Saturday, Open House, Sponsor",2,2,
"So, as a student who cannot attend tomorrow’s open house in-person nor virtually, should I still give my name and resume in two projects channels? Or should I wait until the Tuesday open house to meet them in person?","You can give them now, but you won't be able to have an interview anyway, so it may happen naturally.",Limited Open House,Open House Schedule Conflict Inquiry,Open House,2,2,
Where can I find the company proposals?,"On Canvas
Under STUDENTS RESOURCES on Discord",Limited Open House,Open House Resource Request,,1,2,Canvas structure may change
"For virtual students, will there be break out rooms For the interviews?",Yes,Limited Open House,Virtual Open House Application Process Inquiry,Virtual Students,1,1,
And we have the opportunity to be interviewed again by the same companies in person on Tuesday?,"That is possible if you did not get the interview today, was not yet approved, the sponsor has a vacancy, and/or the sponsor is coming on the other day. it all depends on each project and each situation.",Limited Open House,Open House Schedule Conflict Inquiry,,2,3,Project Sponsor availability is volatile
Should we bring a device like a laptop if we are in person tommorow ?,It's not necessary as long as you have your smartphone. But you can if you wish.,Limited Open House,Industry Open House Application Process Inquiry,,1,1,
Do we have to wear a suit to the open house and should we bring physical copies of our resume?,You can wear business casual attire. Resumes have been shared and can be re-submitted when applying to the Discord channel.,Limited Open House,Industry Open House Application Process Inquiry,Open House,1,1,
Is there no order to the interviews ? We just approach their table as long as we chose them in the discord channel ?,"The sponsors should create a schedule for their interviews and if you are selected, you may pick a time slot that works for you",Limited Open House,Industry Open House Application Process Inquiry,Discord Channel,1,1,
"So hypothetically, if we interview and are selected before 5pm, can we leave or are we required to stay the whole duration?","If you completed your interviews and are selected for one of them, you may leave.",Limited Open House,Industry Open House Application Process Inquiry,,1,1,
"Just asking for some reiterating/solidifying:

If we're a Tuesday student and are attending it online, how exactly do we schedule meeting with and interviewing with the sponsors? I know there's the Webex meeting call but are we on standby waiting to be called or do is there some time sheet in which we can reach out and ""schedule"" a time?","As explained, you should submit your resume to two projects in the respective channels and they will reach out to you if they are interested in interviewing you. From there you may schedule a time with them.",Limited Open House,Industry Open House Application Process Inquiry,Tuesday Section,1,1,
will we receive like an email from then within the hours of the open house? or can we get it between today’s open house and the tuesday open house?,"You may receive a message from the sponsor during the open house, but they may also reach out in the hours after.",Limited Open House,Industry Open House Application Process Inquiry,Open House,1,1,
"So if we don’t get scheduled to  do an interview, we shouldn’t be in the Webex then?","Sponsors may reach out throughout the Open House, so you should still attend",Limited Open House,Industry Open House Application Process Inquiry,Webex,1,1,
"just to confirm, if we are virtual and a sponsor chooses us for an interview, are they going to reach out to us?","Yes, they should be reaching out in the Discord channel that you applied",Limited Open House,Industry Open House Application Process Inquiry,Sponsor,1,1,
Operations what do you suggest I do if I am joining today's open house virtually?,"All interviews will be conducted in a hybrid manner, if you are chosen based on your resume you will have time to speak to a sponsor",Limited Open House,Virtual Open House Application Process Inquiry,"Operations, Dr. Ejabiri, Open House",1,1,
So is it appropriate to just tell the sponsor I am joining online?,so if you are on the webex; after introductions that are happening right now - you will have an oportunity to join different breakout rooms to talk to sponsors; some sponsors are already on webex some will take time to join - as they are also watching the event,Limited Open House,Virtual Open House Application Process Inquiry,Sponsor,1,1,
Can I choose a different company if I already sent my resume to two channels?,"Yes, but you must delete one of the prior submission as you are only allowed 2 submissions. Please do ASAP before Resume Considerations to be considered",Limited Open House,Industry Open House Application Process Inquiry,,1,1,
Will Verizon be at the Open House today?,no,Limited Open House,Industry Open Sponsor Inquiry,"Verizon, Open House",2,3,Requires sponsor schedule
What do I do if the sponsors I sent my resume to didn’t show up today?,they might be on webex unless theyare the sponsors that participate on tuesday,Limited Open House,Industry Open House Application Process Inquiry,Sponsors,2,3,
"So wait, we can apply somewhere else today? It’s a little hard to hear on Webex.",you talk to the same sponsors that you sent your resume. you are allowed only 2 submissions,Limited Open House,Industry Open House Application Process Inquiry,Webex,2,2,
"for Tuesday students, would it be an issue to apply to a sponsor who showed up today but wait till after Tuesdays open house to commit ( if approved ) as we haven't had a chance to speak to sponsors who didn't attend today?","You may wait if that’s what you want, but just be aware that there is the possibility that the team may be filled by students who commit before you",Limited Open House,Industry Open House Application Process Inquiry,"Tuesday Students, Open House, Sponsors",1,1,
I have applied for the industry sponsored project. When is the timeline for approval?,"The industry membership option is approved automatically as a general option. Actual approvals for an industry project can only take place at the actual open house by the industry sponsor.

INDUSTRY PM APPLICATIONS will have an interview. Only after passing that interview can we announce approved PMs.",Approval Process,Application Inquiry,"Live Schedule, Open House Process PDF",2,2,
I applied to be a team member.  So I need to wait until the main industry open house on Tuesday February 6th or the limited one on Saturday February 3rd?,Either one.,Open House,Event Participation,"Live Schedule, Open House Process PDF",2,3,
"For CISCO, whoever’s names are listed on the sheets, they are officially approved now ?",Yes but they have to make at the CISCO commitment at the commitment channel below,Project Applications,Project Approvals,Live Approvals,2,3,
If we didn't see our name  yet for the CISCO..would you recommend applying for another project or at least wait until 2mrw which is the deadline to apply ?,"Yes, If you are a Network or Information Security student, then only can you apply for Cisco. Other students must apply for other companies in the industry track.",Approval Process,Application Inquiry,Live Approvals,1,1,
where is the link for enterprise meeting? and do software automation applicants need to go to it?,There is no general meeting. I announced the candidates for operations and the rest will be announced starting Monday.,Meeting Logistics,Meeting Details,,2,2,
