Day/ Date ,EVENT,TIME ,Who Should Attend,LOCATION (CONF),Assignments ,Deadline ,Comments
"Thursday, April 4, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Saturday, April 6, 2024",RWC Programs ,11AM-4PM,RWC Saturday Coaches,GITC 3700,,,
"Sunday, April 7, 2024",Second Project managers Meeting + RWC Programs ,2PM-5PM,"All PMs Industry, Startup, CISCO and Enterprise teams (virtual)",Webex https://njit.webex.com/meet/oe2,Progress Report 5 (Due by PMs),,
"Tuesday, April 9, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Thursday, April 11, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Saturday, April 13, 2024",RWC Programs ,11AM-4PM,RWC Saturday Coaches,GITC 3700,,,
"Sunday, April 14, 2024",RWC Programs ,2PM-5PM,RWC Wednesday & Sunday Virtual Coaches,Webex https://njit.webex.com/meet/oe2,Progress Report 6 (Due by PMs),,
"Tuesday, April 16, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Thursday, April 18, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Saturday, April 20, 2024",RWC Programs ,11AM-4PM,RWC Saturday Coaches,GITC 3700,,,
"Sunday, April 21, 2024",RWC Programs ,2PM-5PM,RWC Wednesday & Sunday Virtual Coaches,Webex https://njit.webex.com/meet/oe2,Progress Report 7 (Due by PMs),,
"Tuesday, April 23, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Thursday, April 25, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,,,
"Saturday, April 27, 2024",Capstone & RWC showcase ,11AM-7PM,Everyone,Ballroom & Atrium ,Final Presentation Due April 26,,
"Sunday, April 28, 2024",RWC Programs ,2PM-5PM,,Webex https://njit.webex.com/meet/oe2,Progress Report 8 (Due by PMs),,
"Tuesday, April 30, 2024",Independent Team Work,Anytime,"Industry, Startup, CISCO and Enterprise teams (IN-TEAMS/ NO CLASS)",Anywhere,Final Paper Due by PM (on behalf of all teams),,
"Wednesday, May 1, 2024",,,,,Sponsor Evaluation is due for industry teams (by sponsors),,
"Thursday, May 2, 2024",,,,,,,
"Saturday, May 4, 2024",RWC Programs ,11AM-4PM,RWC Saturday Coaches (optional),Virtual ,,,
"Sunday, May 5, 2024",RWC Programs ,2PM-5PM,RWC Wednesday & Sunday Virtual Coaches (optional),Webex https://njit.webex.com/meet/oe2,,,
,,,,,,,
,,,,,,,
"Tuesday, April 30, 2024",Last day of classes,,,,,,
"Thursday, May 2, 2024",Final exams May 3rd  (Does not apply to Capstone),,,,,,
RWC on May 4 th and 5th is optional for coaches,,,,,,,
